Date,Airline,Source,Destination,Dep_time,Arr_time,Durtion,Route,stop,price
02-Nov,SpiceJet,Bangalore,Delhi,19:10,22:00,02h 50m,BLR--->DEL,non-stop,"7,488"
02-Nov,Indigo,Bangalore,Delhi,20:45,23:35,02h 50m,BLR--->DEL,non-stop,"7,488"
02-Nov,Indigo,Bangalore,Delhi,21:30,00:20,02h 50m,BLR--->DEL,non-stop,"7,488"
02-Nov,SpiceJet,Bangalore,Delhi,06:05,09:05,03h 00m,BLR--->DEL,non-stop,"7,488"
02-Nov,AirAsia,Bangalore,Delhi,22:10,00:35,02h 25m,BLR--->DEL,non-stop,"7,489"
02-Nov,AirAsia,Bangalore,Delhi,11:20,14:05,02h 45m,BLR--->DEL,non-stop,"7,489"
02-Nov,AirAsia,Bangalore,Delhi,19:45,22:35,02h 50m,BLR--->DEL,non-stop,"7,489"
02-Nov,Vistara,Bangalore,Delhi,17:55,20:30,02h 35m,BLR--->DEL,non-stop,"7,489"
02-Nov,Vistara,Bangalore,Delhi,21:10,23:45,02h 35m,BLR--->DEL,non-stop,"7,489"
02-Nov,Vistara,Bangalore,Delhi,07:00,09:40,02h 40m,BLR--->DEL,non-stop,"7,489"
02-Nov,Vistara,Bangalore,Delhi,08:00,10:40,02h 40m,BLR--->DEL,non-stop,"7,489"
02-Nov,Vistara,Bangalore,Delhi,11:30,14:10,02h 40m,BLR--->DEL,non-stop,"7,489"
02-Nov,Vistara,Bangalore,Delhi,19:40,22:25,02h 45m,BLR--->DEL,non-stop,"7,489"
02-Nov,Air India,Bangalore,Delhi,10:25,13:10,02h 45m,BLR--->DEL,non-stop,"7,489"
02-Nov,Air India,Bangalore,Delhi,05:45,08:45,03h 00m,BLR--->DEL,non-stop,"7,489"
02-Nov,Air India,Bangalore,Delhi,17:20,20:20,03h 00m,BLR--->DEL,non-stop,"7,489"
02-Nov,AirAsia,Bangalore,Delhi,20:30,01:05,04h 35m,BLR--->BOM-->DEL,1-stop,"7,485"
